ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
0,0,7,P Trap,1001885400,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.101582,-122.853763
0,1,7,P Trap,1001885373,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.044653,-122.834422
0,0,7,P Trap,1001885402,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.102476,-122.845864
0,1,0,Air Valve Assembly,1001811871,,,,,,,,,,,,,20150309,20150309,In Service,2013,Surrey,SFPR Seg. 7,Final AB,In 1200 MH,49.213422,-122.841865
0,1,0,Air Valve Assembly,1001079999,,,,,,,,,,,,,20090204,,In Service,,,,,,49.058624,-122.833798
0,1,6,Pipe Bridge,1001174258,,,,,,,,,,,,,20100929,20100929,In Service,1996,Surrey,7807-0276-00,Final AB,,49.067341,-122.803846
0,1,5,Odour Control Device,1001788150,,Bose P.S.,,,,,,,,,,,20141118,20141118,In Service,2014,Surrey,4710-5100-00,Final AB,,49.118364,-122.799712
0,1,7,P Trap,1001885361,,,,,,,,,,90,,,20160729,20160729,In Service,2011,Surrey,7805-0085-00,Final AB,,49.130049,-122.803667
0,1,6,Pipe Bridge,1001411421,,Serpentine Creek,,,,,,,,105,,,20120503,20120503,In Service,1980,Surrey,4827,Final AB,,49.188166,-122.779334
0,1,5,Odour Control Device,1001802248,,Semiahmoo P.S.,,,,,,,,,,,20150116,20150116,In Service,2014,Surrey,4712-5030-00,Final AB,Centrifugal Blower,49.016846,-122.778384
0,1,7,P Trap,1001943892,,,,,,,,,,,,,20170823,20171220,In Service,2017,Private,7814-0168-00,Initial AB,,49.167707,-122.767904
0,1,0,Air Valve Assembly,1000838531,,East side Hwy 99 220 meters North of Beach Road,,,,,,,,,,,20071207,20130128,In Service,,,,,,49.009420,-122.757204
0,1,0,Air Valve Assembly,1001199709,,17180 4th Ave,,,,,,,,,,,20110603,20130128,In Service,2011,Surrey,7807-0041-00,Final AB,,49.009376,-122.748618
0,1,0,Air Valve Assembly,1001157940,,,,,,,,,,,,,20100430,20140509,In Service,2010,Metro Vancouver,SF-1784,Final AB,,49.195576,-122.744171
0,1,0,Air Valve Assembly,1001161157,,,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,Enclosed in 2100 Steel Kiosk,49.084832,-122.713370
0,1,6,Pipe Bridge,1001161170,,Nikomekl River @ 184 St,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,,49.085098,-122.713363
0,1,0,Air Valve Assembly,1001198155,,,,,,,,,,,,,20110518,20140509,In Service,2007,Metro Vancouver,S-3069,Final AB,1650,49.093897,-122.679664
0,1,0,Air Valve Assembly,1000838865,,,,,,,,,,,,,20071211,,In Service,,,,,,49.187765,-122.907153
0,1,0,Air Valve Assembly,1000838853,,,,,,,,,,,,,20071211,,In Service,,,,,,49.191942,-122.903204
0,1,7,P Trap,1001885422,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.097630,-122.883391
0,1,0,Air Valve Assembly,1001793317,,,,,,,,,,,,,20141030,20141030,In Service,2014,Surrey,4709-5070-00,Final AB,,49.213488,-122.870491
0,1,0,Air Valve Assembly,1001793453,,,,,,,,,,,,,20141030,20141030,In Service,2014,Surrey,4709-5070-00,Final AB,,49.213488,-122.861588
0,1,7,P Trap,1001944689,,,,,,,,,,,,,20170829,20170829,In Service,2017,Private,7811-0312-00,Final AB,,49.031625,-122.830457
0,1,7,P Trap,1001885351,,,,,,,,,,90,,,20160729,20160729,In Service,2004,Surrey,,Final AB,,49.145544,-122.816066
0,1,6,Pipe Bridge,1001174257,,,,,,,,,,,,,20100929,20100929,In Service,1996,Surrey,7892-0106-00,Final AB,,49.067338,-122.804883
0,1,0,Air Valve Assembly,1001130189,,,,,,,,,,,,,20090813,20150312,In Service,2005,Metro Vancouver,S-3038,Final AB,,49.212020,-122.794543
0,1,5,Odour Control Device,1001732554,,Semiahmoo P.S.,,,,,,,,,,,20140304,20150116,In Service,2014,Surrey,4712-5030-00,Final AB,,49.016708,-122.778571
0,0,5,Odour Control Device,1001886572,,,,,,,,,,,,,20160811,,Proposed,,Surrey,4706-4530-00,EC,,49.054823,-122.779634
0,1,7,P Trap,1001980869,,,,,,,,,,,,,20180118,20180118,In Service,2017,Surrey,7815-0157-00,Initial AB,,49.053127,-122.778962
0,1,0,Air Valve Assembly,1000848334,,16104 76A Ave,,,,,,,,,,,20080417,20130128,In Service,,,,,,49.141570,-122.775990
0,1,7,P Trap,1001885404,,,,,,,,,,90,,,20160729,20160729,In Service,2004,Metro Vancouver,7801-0079-00,Final AB,,49.098213,-122.718319
0,0,5,Odour Control Device,1001925295,,19000blk 40 Ave,,,,,,,,,,,20170331,20180213,Proposed,,Surrey,4714-5220-00,EC,Campbell Heights Odour Control,49.074508,-122.696210
0,1,5,Odour Control Device,1001120822,,120 & 5400 blk in Delta,,,,,,,,,,,20090429,20130128,In Service,,,,,,49.101575,-122.890437
0,1,7,P Trap,1001885425,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.100024,-122.887002
0,1,7,P Trap,1001885436,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.097028,-122.876563
0,1,7,P Trap,1001885439,,,,,,,,,,90,,,20160729,20160729,In Service,2003,Surrey,7800-0212-00,Final AB,,49.030680,-122.872106
0,1,0,Air Valve Assembly,1001795763,,,,,,,,,,,,,20141104,,In Service,2014,Surrey,4709-5070-00,Final AB,,49.207888,-122.866584
0,1,0,Air Valve Assembly,1001936981,1000071033,,,,,0,0,,,,,,20170622,20170622,In Service,2000,Surrey,1794-3080-00,Final AB,,49.208860,-122.864544
0,1,0,Air Valve Assembly,1000849488,,,,,,,,,,,,,20080429,,In Service,,,,,,49.211219,-122.861489
0,0,7,P Trap,1001885395,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.100022,-122.860112
0,0,7,P Trap,1001885399,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.101583,-122.854707
0,1,0,Air Valve Assembly,1001795839,,,,,,,,,,,,,20141104,,In Service,2014,Surrey,4709-5070-00,Final AB,,49.211822,-122.859042
0,0,0,Air Valve Assembly,1000837892,,102 Ave & City Parkway,,,,,,Out of service,,,,,20071128,20130128,Abandoned,,,,,,49.188008,-122.847613
0,1,6,Pipe Bridge,1001174253,,,,,,,,,,,,,20100929,20100929,In Service,1974,Surrey,3348,Final AB,,49.210295,-122.829559
0,1,7,P Trap,1001885391,,,,,,,,,,90,,,20160729,20160729,In Service,2006,Surrey,7803-0268-00,Final AB,,49.055695,-122.816166
0,1,0,Air Valve Assembly,1000838560,,,,,,,,,,,,,20071207,,In Service,,,,,,49.067355,-122.795474
0,1,7,P Trap,1001885374,,,,,,,,,,90,,,20160729,20160729,In Service,2011,Surrey,7806-0137-00,Final AB,Inverted P Trap,49.055944,-122.790170
0,1,0,Air Valve Assembly,1001583415,,,,,,,,,,,,,20130402,20130402,In Service,2013,Surrey,FT00567,Final AB,,49.023726,-122.779128
0,1,7,P Trap,1001885437,,,,,,,,,,90,,,20160729,20160729,In Service,2012,Surrey,7810-0020-00,Final AB,,49.053901,-122.778100
0,1,7,P Trap,1001951724,,,,,,,,,,,,,20171017,20171017,In Service,2017,Surrey,7815-0183-00,Final AB,,49.054994,-122.764057
0,1,7,P Trap,1001885370,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.158092,-122.752184
0,1,0,Air Valve Assembly,1001119034,,17000 4th Ave,,,,,,,,,,,20090402,20130128,In Service,,,,,,49.009389,-122.751714
0,1,5,Odour Control Device,1001562828,,Douglas pump station odour control,,,,,,,,,,,20130111,20130128,In Service,2012,Surrey,,Final AB,,49.005400,-122.749894
0,1,0,Air Valve Assembly,1001161096,,4307 184th St,,,,,,,,,,,20100520,20130128,In Service,2009,Surrey,4707-2040-00,Final AB,,49.080478,-122.713506
0,1,0,Air Valve Assembly,1001161095,,4307 184th St,,,,,,,,,,,20100520,20130128,In Service,2009,Surrey,4707-2040-00,Final AB,,49.080482,-122.713506
0,1,0,Air Valve Assembly,1001161158,,,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,Enclosed in 2100 Steel Kiosk,49.084831,-122.713355
0,1,5,Odour Control Device,1001198192,,196th North of Colebrook GVRD,,,,,,,,,,,20110518,20140509,In Service,2007,Metro Vancouver,S-3069,Final AB,,49.093897,-122.679664
