TYPE,SITE_NO,SITE_NAME,ADDRESS,HERITAGE_NEIGHBOURHOOD,REGISTER_RESOLUTION_DATE,HERITAGE_REGISTER_AMENDED,HERITAGE_VALUE,WEBLINK,Latitude,Longitude
Registered,29,Bourassa House,18089 56 Avenue,Cloverdale,19970714,,"Architectural, Historical",http://www.surrey.ca/city-services/3425.aspx,49.104337,-122.721733
Registered and Protected,95,Charles Bell House,16588 Old McLellan Road,Surrey Centre,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3292.aspx,49.107668,-122.762327
Registered,203,Carl Mathisen House,8553 Harvie Road,Port Kells,20001204,No,Architectural,http://www.surrey.ca/city-services/3298.aspx,49.158471,-122.705645
Registered,192,Christ Church Bell Hall,16613 Bell Road,Surrey Centre,20001204,No,"Architectural, Historical, Cultural",http://www.surrey.ca/city-services/3344.aspx,49.107828,-122.761576
Registered,191,Swanson Barn,6571 King George Highway,Newton,20001204,No,Architectural,http://www.surrey.ca/city-services/3237.aspx,49.122084,-122.847149
Registered,61,Larsen House,3071 176 Street,Grandview Heights,19981102,No,Architectural,http://www.surrey.ca/city-services/3232.aspx,49.057936,-122.735620
Registered,47,Dann’s Electronics (Royal Bank of Canada),5657 176 Street,Cloverdale,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3420.aspx,49.105190,-122.735234
Registered,246,Gerow Barn,9641 176 St,Tynehead,20060911,No,"Historical, Architectural",http://www.surrey.ca/city-services/3215.aspx,49.178003,-122.735474
Registered,232,Green Timbers - Commemorative Plantation,14266 96 Ave,Green Timbers,20060724,No,"Historical, Environmental",http://www.surrey.ca/city-services/3416.aspx,49.178270,-122.829765
Registered and Protected,208,South Westminster School,12469 104 Avenue,South Westminster,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3358.aspx,49.192108,-122.877097
Registered,148,John Holt House,18456 88 Avenue,Port Kells,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3264.aspx,49.162607,-122.711150
Registered,180,J.A. Knight House,12503 Crescent Road,Crescent Beach,20001204,No,Architectural,http://www.surrey.ca/city-services/3263.aspx,49.054290,-122.875509
Registered,126,Smith Farm - Dairy Barn,16927 66 Avenue,Clayton,19981102,No,Architectural,http://www.surrey.ca/city-services/3329.aspx,49.123476,-122.753081
Registered,42,Ingram House,8277 Harvie Road,Port Kells,19981102,No,Architectural,http://www.surrey.ca/city-services/3231.aspx,49.153184,-122.713325
Registered,56,William Mackie House,2976 184 Street,Hazelmere,19981102,No,Architectural,http://www.surrey.ca/city-services/3392.aspx,49.056187,-122.712344
Registered and Protected,149,Bulman’s Garage,8745 Harvie Road,Port Kells,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3248.aspx,49.162245,-122.700069
Registered,186,Byers House,2856 McBride Avenue,Crescent Beach,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3221.aspx,49.054429,-122.884569
Registered,72,Holy Cross Catholic Church,12268 Beecher Street,Crescent Beach,19981102,No,Architectural Historical,http://www.surrey.ca/city-services/3371.aspx,49.052638,-122.881878
Registered,110,James Johnston House,6543 152 Street,Sullivan,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3314.aspx,49.121657,-122.801515
