SIGN_TYPE,SIGN_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,SIGN_MESSAGE,SIGN_POST_TYPE,PARK_ENTRANCE,SIGN_SIZE,ROAD_NAME,ADDRESS,SIGN_INVENTORY_NO,PLATE_NO,ROAD_TYPE,DIRECTION_FACING,SIDE_OF_ROAD,PLATE_TYPE_CODE,POST_TYPE_CODE,INSTALLED_BY,DATE_INSTALLED,TAB1_CODE,TAB2_CODE,WORK_ORDER,PLATE_DESCRIPTION,POST_TYPE_DESCRIPTION,TAB1_DESCRIPTION,TAB2_DESCRIPTION,PASS_REFLECTIVITY,DISPLACEMENT_ROADCODE,DISPLACEMENT_DISTANCE,DISPLACEMENT_DIRECTION,DISPLACEMENT_ADDRESS,PSEUDO_ADDRESS,ADDRESS_OVERRIDE,DATE_TESTED,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,,1001144770,,,,,,,31 Ave,,,,,West Bound,,,,,,,,,,,,,,,,,,,,,Proposed,7809-0179-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,EC,,,,,,20100104,20100104,49.058133,-122.799420
0,,1001141362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Service,1R03,2009,Surrey,,WB12T ?,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091125,20091125,49.177529,-122.711567
0,,1001156955,,,,,,,,,,,,,,WA1001,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100420,20100420,49.147821,-122.734814
0,,1001157001,,,,,,,,,,,,North Bound,,WA1001,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100420,20100420,49.158752,-122.734779
0,,1001150530,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1706-3090-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100219,20100219,49.170738,-122.812413
0,,1001155192,,,,,,,,,,,,,,RB25,,,,,,,,,,,,,,,,,,,In Service,1708-2060-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100413,20100413,49.111468,-122.733903
0,,1001143870,,,,,,,,,,,,,,WA50,,,,,,,,,,,,,,,,,,,In Service,7806-0019-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091216,20091216,49.106800,-122.731051
0,,1001141378,,,,,,,,,,,,,,RB23,,,,,,,,,,,,,,,,,,,In Service,1R03,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091125,20091217,49.181030,-122.694473
0,,1001144542,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2005,2007,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091224,20091224,49.106534,-122.738426
0,,1001151694,,,,,,,,,,,,,,WA36L,,,,,,,,,,,,,,,,,,,In Service,1705-3110-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100303,20100303,49.045819,-122.793821
0,,1001151668,,,,,,,,,,,,,,RB14R,,,,,,,,,,,,,,,,,,,In Service,1705-3110-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100303,20100303,49.048176,-122.796761
0,,1001151681,,,,,,,,,,,,,,RB1*60,,,,,,,,,,,,,,,,,,,In Service,1705-3110-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100303,20100303,49.047141,-122.795236
0,,1001153788,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100325,20100329,49.097371,-122.735046
0,,1001153789,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100325,20100329,49.097561,-122.735055
