NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
2,Riser Pocket,1000074750,27831,1218711271,63,PVC Plastic,0.54,,,,Abandoned,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051114,20081120,0,0,49.207012,-122.883857
2,Riser Pocket,1000074751,27832,1221311286,75,PVC Plastic,0.54,,,,Abandoned,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051114,20081120,0,0,49.207283,-122.883154
2,Riser Pocket,1000074769,27487,1236111025,150,PVC Plastic,0.8,,,,Abandoned,S-757,1995,Surrey,,LINE BSW-I,,,,,,,,20051028,20091127,0,0,49.202542,-122.879081
2,Riser Pocket,1000074766,27484,1228410925,150,PVC Plastic,1.05,,,,Abandoned,C-4122,1995,Surrey,,LINE BSW-I,,,,,,,,20051028,20091127,0,0,49.200730,-122.881197
2,Riser Pocket,1000074767,27485,1230910956,150,PVC Plastic,1.04,,,,Abandoned,S-757,1995,Surrey,,LINE BSW-I  SEE ALSO S-010-065,,,,,,,,20051028,20091127,0,0,49.201295,-122.880521
2,Riser Pocket,1000074768,27486,1233210988,150,PVC Plastic,0.9,,,,Abandoned,S-757,1995,Surrey,,LINE BSW-I,,,,,,,,20051028,20091127,0,0,49.201871,-122.879867
2,Riser Pocket,1000074976,27483,1225510885,150,PVC Plastic,1.15,,,,Abandoned,C-4122,1995,Surrey,,LINE BSW-I,,,,,,,,20051028,20091127,0,0,49.200014,-122.882010
2,Riser Pocket,1001141718,,1193110615,150,PVC Plastic,,,,,In Service,F/T,2009,Surrey,,,,,,,,,,20091127,20091127,1,0,49.195153,-122.890971
2,Riser Pocket,1000074900,27333,1190810634,100,PVC Plastic,0.61,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20091127,0,0,49.195495,-122.891607
2,Riser Pocket,1000074820,27553,1238010780,100,PVC Plastic,0.86,,,,In Service,4516,1978,Surrey,,LINE BSW-J,,,,,,,,20051030,,1,0,49.198116,-122.878567
2,Riser Pocket,1000074821,27555,1238010809,100,PVC Plastic,0.86,,,,In Service,4516,1978,Surrey,,LINE BSW-J,,,,,,,,20051030,,1,0,49.198655,-122.878557
2,Riser Pocket,1000074822,27556,1238010837,75,PVC Plastic,0.86,,,,In Service,4516,1978,Surrey,,LINE BSW-J,,,,,,,,20051030,,1,0,49.199150,-122.878549
2,Riser Pocket,1000074823,27557,1238010867,75,PVC Plastic,0.88,,,,In Service,4516,1978,Surrey,,LINE BSW-J,,,,,,,,20051030,,1,0,49.199689,-122.878546
2,Riser Pocket,1000074824,27558,1238010896,75,PVC Plastic,0.88,,,,In Service,4516,1978,Surrey,,LINE BSW-J,,,,,,,,20051030,,1,0,49.200229,-122.878544
