ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1,4,Tee,1000304371,4484,1594309612,50,CAS,66.5,,,Abandoned,,1959,Surrey,,SEE WD-024-035,,,,,,,19890418,,49.176836,-122.780283
,1,4,Tee,1001835059,,1295105978,200,DI,,,,In Service,7804-0329-00,2015,Surrey,,,Initial AB,,,,,,20150820,20150820,49.111218,-122.863032
0,1,4,Tee,1000302374,5180,1599707714,,,30.1,,,In Service,,1991,Surrey,,,,,,,,,19920114,20080416,49.142758,-122.778919
0,1,4,Tee,1000302588,13012,1407908569,,,40.66,,,In Service,,1991,Surrey,,,,,,,,,19910729,,49.158306,-122.831759
0,1,4,Tee,1000302941,12464,1583409120,,,82.85,,,In Service,,1991,Surrey,,,,,,,,,19900904,,49.168203,-122.783310
0,1,4,Tee,1000303258,2909,1921809877,,,7.67,,,In Service,,1981,Surrey,,,,,,,,,19890213,,49.181672,-122.689876
,1,4,Tee,1001172945,,1458805616,300,DI,,,,In Service,MOTH 71101-1004,2009,Surrey,,,Final AB,,,,,,20100922,20100922,49.104601,-122.817940
0,1,4,Tee,1000300314,13350,1458805720,,,63.4,,,In Service,,1991,Surrey,,,,,,,,,19930527,20100922,49.106473,-122.817920
0,0,4,Tee,1000300269,633,1443305600,,,50.75,,,Abandoned,,1969,Surrey,,,,,,,,,19880923,20100922,49.104596,-122.822181
0,0,4,Tee,1000313164,19553,1438705613,,CAS,64,,,Abandoned,,1960,Surrey,,,,,,,,,19880920,20100922,49.104551,-122.823478
0,1,4,Tee,1000305842,14128,1880306130,,,66.85,,,In Service,,1994,Surrey,,,,,,,,,19960423,,49.113934,-122.701730
,0,0,Cap,1001145113,,1279801438,100,DI,,,,Abandoned,1207-3680-00,2009,Surrey,,,Final AB,,,,,,20100107,20171024,49.029057,-122.867464
0,0,4,Tee,1000301329,10690,1279901438,,,69,,,Abandoned,,1951,Surrey,,,,,,,,,19900607,20171024,49.029057,-122.867437
0,1,4,Tee,1000304509,3822,1570310133,,,73.75,,,In Service,,1994,Surrey,,,,,,,,,19950208,,49.186520,-122.786839
0,1,4,Tee,1000302611,13037,1408708419,,,34.2,,,In Service,,1990,Surrey,,,,,,,,,19910730,,49.155606,-122.831551
,1,0,Cap,1001952658,,1279901491,150,,,,,In Service,,,Surrey,,FT02515,Final AB,,,,,,20171024,20171024,49.030016,-122.867438
0,1,4,Tee,1000301134,9986,1306602055,,,86.75,,,In Service,,1987,Surrey,,,,,,,,,19900323,,49.040512,-122.860025
0,1,4,Tee,1000301810,17698,1288202561,200,PVC,,71,,In Service,7801-0073-00,2003,Surrey,,,Final AB,,,,,,20031118,,49.049374,-122.865100
0,1,4,Tee,1000301345,16542,1279401522,200,DI,,72.25,,In Service,12963070-00,2002,Surrey,,,Final AB,,,,,,20030219,20110623,49.030590,-122.867573
0,1,4,Tee,1000301858,17098,1251502436,200,PVC,,50.3,,In Service,7800-0129-00,2001,Surrey,,,Final AB,,,,,,20030604,,49.047128,-122.875199
0,1,4,Tee,1000301638,18410,1710502573,200,DI,,94.9,,In Service,12033130-00,2004,Surrey,,,Final AB,,,,,,20041026,20110623,49.049404,-122.748856
0,1,4,Tee,1000302353,19240,1700907920,100,DI,,16.88,,In Service,7803-0225-00,2006,Surrey,,,Final AB,,,,,,20051123,20060727,49.146159,-122.750998
0,1,4,Tee,1000301639,18411,1710702571,250,DI,,94.86,,In Service,12033130-00,2004,Surrey,,,Final AB,,,,,,20041026,20110623,49.049368,-122.748801
0,1,4,Tee,1000303105,14161,1408309035,200,PVC,56.35,56.35,0,In Service,7890-0253-00,1995,Surrey,,,Final AB,,,,,,20021002,,49.166494,-122.831657
0,1,4,Tee,1000302146,16914,1621404989,100,DI,0,-0.99,0.99,In Service,12979040-00,1999,Surrey,,,Final AB,,,,,,20030516,20110623,49.093172,-122.773164
0,1,4,Tee,1000302147,16926,1681605195,100,DI,0,-0.55,0.55,In Service,12979040-00,1999,Surrey,,,Final AB,,,,,,20030516,20110623,49.096874,-122.756567
0,1,4,Tee,1000298299,19231,1569610484,250,DI,,69.29,,In Service,7899-0215-00,2005,Surrey,,,Final AB,,,,,,20051102,,49.192635,-122.787016
0,1,4,Tee,1000298367,15045,1582211073,200,CAS,,80.4,,In Service,7897-0240-00,1999,Surrey,,,Final AB,,,,,,20020507,,49.203281,-122.783498
0,1,4,Tee,1000298699,15920,1428710419,300,CAS,,100.83,,In Service,1299-6100-00,2000,Surrey,,,Final AB,,,,,,20020917,,49.191521,-122.825922
,0,0,Cap,1001952659,,1279901490,150,,,,,Abandoned,,2017,Surrey,,FT02515,Final AB,,,,,,20171024,20171024,49.030010,-122.867438
0,1,4,Tee,1000314863,7337,1413411269,,,95,,,In Service,,1984,Surrey,,,,,,,,,19890927,,49.207154,-122.830064
0,1,4,Tee,1000314648,7021,1322811415,,,5.5,,,In Service,,1980,Surrey,,,,,,,,,19890912,,49.209830,-122.855088
0,1,4,Tee,1000314675,7065,1358311405,,,36.22,,,In Service,,1975,Surrey,,,,,,,,,19890913,,49.209632,-122.845288
0,1,4,Tee,1000300095,19661,1498905954,150,DI,,49.82,,In Service,7803-0214-00,2005,Surrey,,,Final AB,,,,,,20060529,20110623,49.110704,-122.806856
,1,4,Tee,1001938443,,1250810508,150,DI,,,,In Service,1213-3180-00,2016,Surrey,,,Initial AB,,,,,,20170628,20171024,49.193198,-122.875048
0,1,4,Tee,1000300187,16413,1487105913,200,DI,,59.8,,In Service,7801-0127-00,2002,Surrey,,,Final AB,,,,,,20030108,20110623,49.109963,-122.810107
0,1,4,Tee,1000300189,16415,1483805907,200,DI,,61.25,,In Service,7801-0127-00,2002,Surrey,,,Final AB,,,,,,20030108,20110623,49.109861,-122.811038
0,1,4,Tee,1000303157,5141,1377009268,,,58.16,,,In Service,,1975,Surrey,,,,,,,,,19890508,,49.170969,-122.840239
0,1,4,Tee,1000303168,5200,1357709221,,,53.53,,,In Service,,1988,Surrey,,,,,,,,,19890510,,49.170123,-122.845556
0,1,4,Tee,1000302414,2461,1879308727,,,8.89,,,In Service,,1987,Surrey,,,,,,,,,19890207,,49.160899,-122.701729
0,1,4,Tee,1000302594,13018,1424508273,,,38.92,,,In Service,,1990,Surrey,,,,,,,,,19910729,,49.152947,-122.827202
0,1,4,Tee,1000302637,3186,1394908071,,,18.35,,,In Service,,1977,Surrey,,,,,,,,,19890224,,49.149304,-122.835366
0,1,4,Tee,1000302323,641,1840707599,,,27.89,,,In Service,,1965,Surrey,,,,,,,,,19910404,,49.140531,-122.712485
0,1,4,Tee,1000302361,2023,1840607203,,,54,,,In Service,,1964,Surrey,,,,,,,,,19890116,,49.133360,-122.712574
0,1,4,Tee,1000302073,9235,1231302743,,,1.6,,,In Service,,1977,Surrey,,,,,,,,,19900205,,49.052983,-122.880722
0,1,4,Tee,1000302089,17538,1550803964,100,CAS,,0.85,,In Service,1200-903,2003,Surrey,,,,,,,,,20030908,,49.074660,-122.792706
