2013,,,,,,,,,,,,,,,,,,,,,,,2012,
Mo,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,Mo,
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--,
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,,
Locations on this,City Cent,,Cloverdal,,Fleetwood,,Guildford,,Newton Li,,Ocean Par,,Port Kell,,Semiahmoo,,Strawberr,,ReadAbility,,Collectio,Dec-13,Locations on this,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta,
,,,,,,,,,,,,,,,,,,,,,,,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------,
Bible,12,,7,,10,,37,,12,,4,,0,,18,,11,,0,,0, 111 ,Bible,
Christianity,12,,8,,20,,28,,15,,11,,1,,34,,13,,0,,0, 142 ,Christianity,
Christian Sects,0,,1,,0,,4,,1,,0,,0,,6,,2,,0,,0, 14 ,Christian Sects,
Coomparative Reli,1,,2,,4,,7,,2,,6,,1,,9,,8,,0,,0, 40 ,Coomparative Reli,
Major Religions,69,,22,,52,,117,,66,,38,,1,,76,,134,,0,,0, 575 ,Major Religions,
Other Religons,9,,3,,2,,14,,3,,2,,0,,11,,4,,0,,0, 48 ,Other Religons,
Social Sciences,54,,25,,37,,121,,44,,36,,4,,78,,57,,0,,0, 456 ,Social Sciences,
Statistics,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Statistics,
Political Science,15,,5,,11,,35,,18,,8,,2,,23,,7,,0,,0, 124 ,Political Science,
International Mig,3,,1,,1,,5,,3,,2,,0,,2,,3,,0,,0, 20 ,International Mig,
Slavery,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Slavery,
International Rel,7,,4,,5,,10,,5,,7,,2,,9,,7,,0,,0, 56 ,International Rel,
Legislative Proce,2,,0,,0,,1,,1,,0,,0,,1,,2,,0,,0, 7 ,Legislative Proce,
Economics,8,,6,,6,,15,,8,,4,,0,,10,,7,,0,,0, 64 ,Economics,
Financial Economi,9,,4,,8,,26,,6,,7,,0,,10,,7,,0,,0, 77 ,Financial Economi,
Land Economics,49,,23,,40,,50,,31,,37,,9,,60,,39,,0,,0, 338 ,Land Economics,
Cooperatives,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Cooperatives,
Socialism,1,,0,,1,,1,,0,,2,,0,,1,,1,,0,,0, 7 ,Socialism,
Public Finance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Public Finance,
International Eco,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,International Eco,
Production,11,,2,,2,,5,,0,,4,,0,,5,,2,,0,,0, 31 ,Production,
Law,3,,1,,2,,10,,2,,1,,0,,6,,3,,0,,0, 28 ,Law,
Public Administra,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Public Administra,
Military Science,16,,10,,14,,33,,12,,13,,1,,25,,20,,0,,0, 144 ,Military Science,
Social Problems &,4,,1,,2,,11,,2,,1,,0,,3,,3,,0,,0, 27 ,Social Problems &,
Substance Abuse,28,,5,,23,,90,,27,,16,,2,,55,,38,,0,,0, 284 ,Substance Abuse,
Environmental Pro,12,,6,,25,,47,,17,,13,,0,,39,,30,,0,,0, 189 ,Environmental Pro,
Criminology,4,,2,,3,,4,,3,,2,,0,,8,,4,,0,,0, 30 ,Criminology,
"Associations, Clu",0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,"Associations, Clu",
Insurance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Insurance,
Misc. Association,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Misc. Association,
Education,153,,45,,116,,193,,134,,46,,2,,106,,103,,0,,0, 898 ,Education,
Commerce,3,,0,,1,,3,,2,,0,,0,,6,,0,,0,,0, 15 ,Commerce,
Communications,0,,0,,1,,6,,1,,0,,0,,0,,0,,0,,0, 8 ,Communications,
Transportation,13,,3,,7,,22,,7,,10,,4,,19,,8,,0,,0, 93 ,Transportation,
Metrology,0,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0, 2 ,Metrology,
Customs,158,,73,,147,,243,,155,,112,,24,,195,,158,,0,,0," 1,265 ",Customs,
Folklore,125,,42,,72,,144,,93,,45,,10,,83,,75,,0,,0, 689 ,Folklore,
Customs Of War,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,Customs Of War,
Languages,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0, 3 ,Languages,
Linguistics,235,,137,,150,,272,,232,,67,,10,,169,,132,,1,,0," 1,405 ",Linguistics,
Science,178,,78,,121,,238,,132,,80,,6,,134,,94,,0,,0," 1,061 ",Science,
Mathematics,205,,67,,133,,279,,194,,58,,5,,145,,103,,0,,0," 1,189 ",Mathematics,
Astronomy,84,,46,,60,,117,,59,,63,,10,,75,,73,,0,,0, 587 ,Astronomy,
Planets,108,,60,,96,,178,,105,,96,,15,,123,,105,,0,,0, 886 ,Planets,
Physics,165,,79,,143,,263,,143,,107,,13,,158,,142,,0,,0," 1,213 ",Physics,
Chemistry,70,,30,,54,,113,,35,,31,,6,,96,,54,,0,,0, 489 ,Chemistry,
Earth Sciences,241,,133,,170,,348,,164,,151,,14,,225,,216,,0,,0," 1,662 ",Earth Sciences,
Paleontology,17,,16,,10,,30,,10,,8,,3,,21,,15,,0,,0, 130 ,Paleontology,
Dinosaurs,152,,103,,127,,197,,116,,109,,25,,150,,160,,0,,0," 1,139 ",Dinosaurs,
Life Sciences,137,,90,,130,,255,,137,,98,,8,,183,,141,,0,,0," 1,179 ",Life Sciences,
Plants,25,,13,,29,,78,,38,,29,,0,,36,,24,,0,,0, 272 ,Plants,
Animals,761,,492,,652,,1371,,625,,709,,76,,956,,726,,0,,0," 6,368 ",Animals,
Technology,29,,14,,17,,42,,19,,16,,1,,28,,30,,0,,0, 196 ,Technology,
Medical Sciences,201,,111,,146,,324,,130,,108,,18,,205,,175,,0,,0," 1,418 ",Medical Sciences,
Promotion Of Heal,58,,22,,45,,92,,52,,34,,3,,54,,59,,0,,0, 419 ,Promotion Of Heal,
Disease,42,,10,,26,,81,,19,,17,,0,,60,,35,,0,,0, 290 ,Disease,
Medical Specialti,14,,7,,9,,40,,10,,7,,0,,24,,8,,0,,0, 119 ,Medical Specialti,
Engineering,4,,1,,3,,24,,6,,1,,0,,21,,8,,0,,0, 68 ,Engineering,
Electricity & Ele,107,,72,,105,,170,,105,,66,,1,,105,,110,,0,,0, 841 ,Electricity & Ele,
Civil Engineering,19,,15,,17,,34,,12,,13,,4,,18,,23,,0,,0, 155 ,Civil Engineering,
Hydraulic Enginee,23,,8,,11,,29,,14,,17,,2,,30,,21,,0,,0, 155 ,Hydraulic Enginee,
Aerospace Engneer,163,,95,,127,,262,,125,,107,,21,,169,,132,,0,,0," 1,201 ",Aerospace Engneer,
Agriculture,23,,12,,10,,51,,11,,12,,3,,33,,11,,0,,0, 166 ,Agriculture,
Gardening,7,,4,,6,,17,,6,,4,,1,,10,,6,,0,,0, 61 ,Gardening,
Animal Husbandry,186,,162,,147,,354,,126,,188,,30,,231,,202,,0,,0," 1,626 ",Animal Husbandry,
Hunting / Fishing,14,,6,,11,,35,,10,,12,,1,,25,,14,,0,,0, 128 ,Hunting / Fishing,
Home Economics,0,,0,,1,,1,,0,,1,,0,,1,,1,,0,,0, 5 ,Home Economics,
Food & Drink,110,,60,,105,,171,,84,,76,,5,,134,,80,,0,,0, 825 ,Food & Drink,
Meals & Table Ser,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Meals & Table Ser,
Household Managem,14,,8,,16,,34,,15,,9,,1,,26,,26,,0,,0, 149 ,Household Managem,
Hotel Management,4,,1,,1,,4,,1,,1,,0,,4,,0,,0,,0, 16 ,Hotel Management,
Child Rearing,9,,8,,12,,18,,10,,9,,0,,16,,8,,0,,0, 90 ,Child Rearing,
Management,2,,0,,1,,6,,1,,0,,0,,4,,1,,0,,0, 15 ,Management,
Office Services,3,,0,,1,,6,,0,,1,,0,,4,,3,,0,,0, 18 ,Office Services,
General Managemen,0,,0,,1,,2,,0,,1,,0,,0,,0,,0,,0, 4 ,General Managemen,
Advertising,1,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0, 3 ,Advertising,
Chemical Engineer,8,,2,,4,,17,,3,,3,,1,,22,,5,,0,,0, 65 ,Chemical Engineer,
Manufacturing,1,,1,,1,,7,,2,,2,,0,,9,,4,,0,,0, 27 ,Manufacturing,
Specific Manufact,2,,1,,0,,1,,2,,0,,0,,4,,0,,0,,0, 10 ,Specific Manufact,
Hardware & Househ,0,,0,,0,,1,,1,,0,,0,,1,,1,,0,,0, 4 ,Hardware & Househ,
Furnishings/home,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Furnishings/home,
Leather & Fur Pro,1,,0,,0,,4,,0,,0,,0,,3,,1,,0,,0, 9 ,Leather & Fur Pro,
Clothing,59,,18,,23,,40,,33,,14,,5,,24,,25,,0,,0, 241 ,Clothing,
Buildings,6,,2,,4,,7,,3,,4,,0,,7,,2,,0,,0, 35 ,Buildings,
Carpentry,1,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0, 3 ,Carpentry,
The Arts,28,,15,,21,,49,,16,,18,,3,,35,,27,,0,,0, 212 ,The Arts,
Civic & Landscape,0,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0, 2 ,Civic & Landscape,
Architecture,13,,8,,12,,33,,9,,9,,0,,24,,14,,0,,0, 122 ,Architecture,
Sculpture,38,,14,,30,,47,,34,,28,,1,,37,,24,,0,,0, 253 ,Sculpture,
Numismatics,0,,0,,0,,2,,0,,0,,0,,1,,0,,0,,0, 3 ,Numismatics,
Ceramic Arts,2,,1,,4,,4,,1,,3,,0,,0,,0,,0,,0, 15 ,Ceramic Arts,
Drawing,408,,161,,288,,449,,326,,186,,49,,303,,271,,0,,0," 2,441 ",Drawing,
Handicrafts,187,,89,,154,,270,,135,,125,,24,,171,,147,,0,,0," 1,302 ",Handicrafts,
Textile Arts,16,,6,,9,,25,,11,,9,,0,,12,,8,,0,,0, 96 ,Textile Arts,
Interior Decorati,3,,1,,1,,2,,0,,1,,0,,3,,2,,0,,0, 13 ,Interior Decorati,
Painting,17,,18,,8,,39,,6,,21,,2,,41,,25,,0,,0, 177 ,Painting,
Graphic Arts,1,,1,,2,,7,,3,,0,,0,,10,,5,,0,,0, 29 ,Graphic Arts,
Photography,7,,2,,3,,9,,7,,4,,0,,7,,4,,0,,0, 43 ,Photography,
Music,70,,34,,66,,164,,62,,50,,8,,88,,69,,0,,0, 611 ,Music,
"Movies, Radio, Tv",89,,41,,59,,114,,56,,40,,24,,93,,76,,0,,0, 592 ,"Movies, Radio, Tv",
Stage Presentatio,14,,10,,13,,27,,7,,14,,1,,26,,18,,0,,0, 130 ,Stage Presentatio,
Indoor Games,108,,39,,74,,133,,85,,69,,10,,99,,96,,0,,0, 713 ,Indoor Games,
Indoor Games Of S,72,,28,,36,,84,,59,,32,,6,,62,,44,,0,,0, 423 ,Indoor Games Of S,
Athletic/outdoor,317,,135,,239,,523,,233,,165,,23,,339,,241,,0,,0," 2,215 ",Athletic/outdoor,
Aquatic Sports,6,,2,,7,,15,,3,,7,,3,,20,,3,,0,,0, 66 ,Aquatic Sports,
Equestrian Sports,1,,12,,7,,14,,2,,8,,2,,9,,2,,0,,0, 57 ,Equestrian Sports,
"Fishing, Hunting,",1,,2,,2,,3,,1,,3,,0,,2,,1,,0,,0, 15 ,"Fishing, Hunting,",
Literature,195,,116,,168,,412,,139,,150,,19,,258,,166,,0,,0," 1,623 ",Literature,
Geography & Histo,19,,9,,16,,45,,21,,15,,1,,50,,23,,0,,0, 199 ,Geography & Histo,
Geography & Trave,67,,35,,90,,168,,61,,48,,13,,108,,81,,0,,0, 671 ,Geography & Trave,
Europe,2,,0,,1,,6,,2,,4,,0,,6,,2,,0,,0, 23 ,Europe,
Asia,0,,1,,3,,10,,1,,1,,0,,5,,6,,0,,0, 27 ,Asia,
Africa,1,,0,,0,,2,,1,,1,,0,,2,,2,,0,,0, 9 ,Africa,
North America,8,,4,,13,,17,,11,,8,,1,,16,,6,,0,,0, 84 ,North America,
South America,0,,0,,0,,1,,1,,0,,0,,2,,0,,0,,0, 4 ,South America,
Other Areas,3,,0,,5,,19,,5,,1,,0,,13,,6,,0,,0, 52 ,Other Areas,
Genealogy,11,,7,,14,,28,,11,,7,,3,,18,,15,,0,,0, 114 ,Genealogy,
Ancient History,27,,9,,33,,62,,25,,13,,3,,34,,29,,0,,0, 235 ,Ancient History,
Ancient Egypt,131,,43,,140,,310,,139,,170,,22,,213,,185,,0,,0," 1,353 ",Ancient Egypt,
Ancient Greece,58,,40,,64,,138,,50,,75,,13,,87,,81,,0,,0, 606 ,Ancient Greece,
European History,108,,63,,98,,193,,96,,127,,14,,133,,116,,0,,0, 948 ,European History,
British History,15,,10,,17,,30,,16,,7,,1,,18,,12,,0,,0, 126 ,British History,
Medieval British,13,,9,,10,,20,,9,,17,,1,,14,,9,,0,,0, 102 ,Medieval British,
Central European,21,,7,,8,,30,,10,,6,,0,,16,,8,,0,,0, 106 ,Central European,
French History,17,,9,,13,,29,,12,,19,,1,,12,,21,,0,,0, 133 ,French History,
Italian History,8,,8,,8,,12,,6,,14,,1,,7,,12,,0,,0, 76 ,Italian History,
Spanish History,9,,2,,9,,12,,7,,6,,1,,11,,7,,0,,0, 64 ,Spanish History,
Russian History,12,,3,,7,,30,,4,,4,,0,,15,,9,,0,,0, 84 ,Russian History,
Scandinavian Hist,39,,21,,23,,70,,20,,21,,4,,51,,44,,0,,0, 293 ,Scandinavian Hist,
Asian History,31,,23,,31,,73,,29,,30,,3,,37,,39,,0,,0, 296 ,Asian History,
Japanese History,23,,15,,16,,54,,18,,20,,3,,35,,34,,0,,0, 218 ,Japanese History,
Indian History,47,,19,,35,,86,,43,,24,,1,,58,,76,,0,,0, 389 ,Indian History,
Siberian History,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Siberian History,
Central Asian His,9,,2,,10,,12,,7,,5,,0,,11,,3,,0,,0, 59 ,Central Asian His,
Se Asian History,26,,12,,20,,39,,15,,13,,1,,31,,22,,0,,0, 179 ,Se Asian History,
African History,52,,26,,37,,105,,36,,33,,3,,55,,41,,0,,0, 388 ,African History,
North American Hi,21,,13,,14,,53,,11,,16,,1,,27,,26,,0,,0, 182 ,North American Hi,
Canadian History,232,,188,,217,,451,,172,,213,,52,,351,,268,,0,,0," 2,144 ",Canadian History,
Mexican History,64,,35,,44,,96,,40,,36,,2,,75,,71,,0,,0, 463 ,Mexican History,
U.s. History,62,,25,,25,,120,,21,,31,,5,,87,,38,,0,,0, 414 ,U.s. History,
South American Hi,41,,26,,20,,77,,24,,20,,2,,53,,33,,0,,0, 296 ,South American Hi,
History Of Other,16,,12,,13,,37,,8,,13,,0,,23,,14,,0,,0, 136 ,History Of Other,
Extraterrestrial,29,,15,,16,,36,,15,,19,,1,,45,,26,,0,,0, 202 ,Extraterrestrial,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,7405,,3828,,5843,,12140,,5836,,4876,,727,,8279,,6569,,1,,0," 55,504 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,4,,1,,1,,13,,3,,0,,0,,3,,3,,0,,0, 28 ,Generalities,
Philosophy & Psyc,90,,33,,53,,142,,66,,61,,0,,50,,60,,0,,0, 555 ,Philosophy & Psyc,
Religion,27,,26,,28,,64,,27,,31,,1,,30,,25,,0,,0, 259 ,Religion,
Social Sciences,189,,105,,151,,357,,130,,145,,18,,195,,108,,0,,0," 1,398 ",Social Sciences,
Languages,14,,20,,16,,52,,11,,14,,5,,29,,6,,0,,0, 167 ,Languages,
Science & Mathema,558,,283,,429,,992,,305,,436,,36,,483,,401,,0,,0," 3,923 ",Science & Mathema,
Technology & Medi,380,,214,,257,,671,,232,,279,,42,,328,,256,,0,,0," 2,659 ",Technology & Medi,
The Arts / Sports,229,,97,,120,,245,,145,,117,,21,,159,,98,,0,,0," 1,231 ",The Arts / Sports,
Literature,33,,30,,22,,117,,22,,28,,7,,44,,23,,0,,0, 326 ,Literature,
Geography & Histo,18,,50,,32,,85,,11,,29,,15,,33,,49,,0,,0, 322 ,Geography & Histo,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities,
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc,
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion,
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences,
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages,
Science & Technol,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Technol,
Technology & Medi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Medi,
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports,
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature,
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,1542,,859,,1109,,2738,,952,,1140,,145,,1354,,1029,,0,,0," 10,868 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,21,,13,,15,,32,,27,,4,,1,,14,,29,,0,,0, 156 ,Generalities,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,21,,13,,15,,32,,27,,4,,1,,14,,29,,0,,0, 156 ,Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,46,,32,,18,,32,,15,,17,,0,,36,,17,,0,,0, 213 ,Generalities,
Philosophy & Psyc,0,,2,,0,,0,,0,,0,,0,,2,,0,,0,,0, 4 ,Philosophy & Psyc,
Religion,3,,4,,2,,3,,0,,0,,0,,7,,3,,0,,0, 22 ,Religion,
Social Sciences,17,,28,,16,,20,,5,,12,,0,,33,,9,,0,,0, 140 ,Social Sciences,
Languages,14,,12,,13,,21,,12,,18,,1,,15,,9,,0,,0, 115 ,Languages,
Science & Mathema,61,,80,,78,,91,,45,,95,,0,,164,,26,,0,,0, 640 ,Science & Mathema,
Technology & Medi,17,,27,,22,,17,,8,,27,,0,,40,,6,,0,,0, 164 ,Technology & Medi,
The Arts / Sports,21,,12,,21,,25,,8,,14,,0,,46,,15,,0,,0, 162 ,The Arts / Sports,
Literature,1,,0,,1,,1,,0,,0,,0,,1,,0,,0,,0, 4 ,Literature,
Geography & Histo,35,,30,,30,,34,,32,,60,,0,,150,,20,,0,,0, 391 ,Geography & Histo,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities,
Generalities,0,,2,,3,,3,,2,,2,,0,,3,,2,,0,,0, 17 ,Generalities,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,215,,229,,204,,247,,127,,245,,1,,497,,107,,0,,0," 1,872 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,18,,15,,18,,39,,21,,23,,0,,43,,19,,0,,0, 196 ,Generalities,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,18,,15,,18,,39,,21,,23,,0,,43,,19,,0,,0, 196 ,Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,158,,199,,144,,228,,124,,79,,25,,217,,205,,0,,0," 1,379 ",Generalities,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,158,,199,,144,,228,,124,,79,,25,,217,,205,,0,,0," 1,379 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities,
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc,
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion,
Social Sciences,0,,0,,0,,0,,1,,0,,0,,0,,1,,0,,0, 2 ,Social Sciences,
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages,
Science & Mathema,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Mathema,
Technology & Medi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Medi,
The Arts / Sports,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0, 1 ,The Arts / Sports,
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature,
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities,
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc,
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion,
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences,
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages,
Science & Mathema,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Mathema,
Technology & Math,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Math,
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports,
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature,
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,0,,0,,0,,0,,1,,1,,0,,0,,1,,0,,0, 3 ,Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,63,,23,,28,,52,,59,,1,,48,,20,,25,,0,,5, 324 ,Generalities,
