2013,,,,,,,,,,,,,,,,,,,,,,,2012,
Mo,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,Mo,
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--,
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,,
Locations on this,City Cent,,Cloverdal,,Fleetwood,,Guildford,,Newton Li,,Ocean Par,,Port Kell,,Semiahmoo,,Strawberr,,ReadAbility,,Collectio,Dec-13,Locations on this,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta,
,,,,,,,,,,,,,,,,,,,,,,,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------,
Nonfiction - Othe,74,,29,,48,,74,,48,,6,,4,,40,,40,,0,,0, 363 ,Nonfiction - Othe,
Newspaper,0,,0,,0,,0,,0,,0,,0,,18,,0,,0,,0, 18 ,Newspaper,
Newspaper - Other,0,,0,,0,,47,,0,,0,,0,,28,,0,,0,,0, 75 ,Newspaper - Other,
Hindi - Fiction,454,,0,,171,,248,,250,,0,,0,,0,,412,,0,,0," 1,535 ",Hindi - Fiction,
Hindi - Nonfictio,448,,0,,152,,310,,343,,0,,0,,0,,412,,0,,0," 1,665 ",Hindi - Nonfictio,
Panjabi - Fiction,386,,158,,223,,178,,514,,0,,0,,0,,676,,0,,0," 2,135 ",Panjabi - Fiction,
Panjabi - Nonfict,483,,98,,259,,179,,746,,0,,2,,2,,1109,,0,,0," 2,878 ",Panjabi - Nonfict,
Sapnish - Fiction,160,,0,,52,,100,,171,,1,,0,,96,,1,,0,,0, 581 ,Sapnish - Fiction,
Spanish - Nonfict,51,,2,,20,,37,,65,,0,,1,,34,,1,,0,,0, 211 ,Spanish - Nonfict,
Reference,1852,,527,,335,,2687,,830,,253,,39,,838,,279,,2,,6," 7,648 ",Reference,
Reference - Atlas,6,,5,,1,,15,,4,,8,,0,,4,,3,,0,,0, 46 ,Reference - Atlas,
Reference - Biogr,137,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0, 142 ,Reference - Biogr,
Reference - Caree,30,,17,,28,,110,,39,,17,,0,,34,,22,,0,,0, 297 ,Reference - Caree,
