,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
Reference - Genea,0,,61,,0,,0,,0,,0,,0,,0,,0,,0,,0, 61 ,Reference - Genea
Reference - Genea,0,,184,,0,,0,,0,,0,,0,,0,,0,,0,,2, 186 ,Reference - Genea
Reference - Genea,0,,53,,0,,0,,0,,0,,0,,0,,0,,0,,0, 53 ,Reference - Genea
Reference - Genea,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,Reference - Genea
Reference - Gov.,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, 12 ,Reference - Gov.
Reference - Index,6,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0, 8 ,Reference - Index
Reference - Inves,1,,0,,0,,2,,7,,0,,0,,28,,0,,0,,0, 38 ,Reference - Inves
Reference - Legal,39,,12,,12,,219,,16,,4,,3,,6,,12,,1,,0, 324 ,Reference - Legal
Reference - Micro,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Reference - Micro
Reference - Reade,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,Reference - Reade
Reference - Stora,1,,0,,0,,16,,0,,1,,0,,0,,0,,0,,0, 18 ,Reference - Stora
Superloan DVD,284,,89,,124,,194,,131,,72,,57,,186,,146,,0,,0," 1,283 ",Superloan DVD
Superloan Fiction,175,,79,,91,,118,,90,,81,,31,,124,,85,,0,,0, 874 ,Superloan Fiction
