,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
Science,193,,45,,125,,223,,122,,53,,24,,133,,99,,0,,0," 1,017 ",Science
Mathematics,373,,130,,267,,372,,348,,71,,51,,221,,210,,0,,0," 2,043 ",Mathematics
Astronomy,107,,39,,69,,111,,76,,54,,11,,75,,57,,0,,0, 599 ,Astronomy
Planets,125,,59,,89,,161,,103,,32,,8,,75,,69,,0,,0, 721 ,Planets
Physics,138,,86,,147,,252,,163,,48,,13,,118,,98,,0,,0," 1,063 ",Physics
Chemistry,59,,17,,44,,87,,24,,9,,3,,46,,32,,0,,0, 321 ,Chemistry
Earth Sciences,242,,134,,175,,338,,186,,78,,27,,183,,163,,0,,0," 1,526 ",Earth Sciences
Paleontology,16,,15,,16,,28,,8,,3,,2,,13,,14,,0,,0, 115 ,Paleontology
Dinosaurs,155,,50,,99,,147,,119,,52,,19,,99,,104,,0,,0, 844 ,Dinosaurs
Life Sciences,184,,61,,135,,233,,135,,56,,11,,131,,113,,0,,0," 1,059 ",Life Sciences
Plants,38,,5,,25,,72,,41,,10,,0,,30,,19,,0,,0, 240 ,Plants
Animals,864,,327,,656,,1307,,694,,377,,88,,728,,557,,0,,0," 5,598 ",Animals
Technology,34,,9,,27,,49,,28,,8,,2,,23,,21,,0,,0, 201 ,Technology
Medical Sciences,213,,42,,126,,295,,112,,43,,19,,153,,139,,0,,0," 1,142 ",Medical Sciences
Promotion Of Heal,63,,15,,44,,100,,50,,24,,9,,52,,53,,0,,0, 410 ,Promotion Of Heal
Disease,48,,10,,31,,68,,22,,6,,2,,36,,31,,0,,0, 254 ,Disease
Medical Specialti,17,,4,,13,,47,,16,,12,,4,,26,,15,,0,,0, 154 ,Medical Specialti
Engineering,5,,3,,5,,24,,4,,0,,0,,9,,6,,0,,0, 56 ,Engineering
Electricity & Ele,102,,37,,92,,163,,84,,34,,3,,98,,92,,0,,0, 705 ,Electricity & Ele
Civil Engineering,17,,6,,10,,24,,13,,5,,5,,11,,14,,0,,0, 105 ,Civil Engineering
Hydraulic Enginee,24,,8,,15,,33,,15,,12,,3,,24,,23,,0,,0, 157 ,Hydraulic Enginee
Aerospace Engneer,158,,62,,99,,230,,119,,55,,19,,138,,114,,0,,0, 994 ,Aerospace Engneer
Agriculture,28,,6,,12,,34,,12,,11,,4,,31,,14,,0,,0, 152 ,Agriculture
Gardening,7,,3,,6,,17,,7,,3,,0,,9,,3,,0,,0, 55 ,Gardening
Animal Husbandry,129,,75,,122,,280,,122,,79,,21,,175,,161,,0,,0," 1,164 ",Animal Husbandry
Hunting / Fishing,7,,2,,7,,21,,9,,5,,0,,7,,7,,0,,0, 65 ,Hunting / Fishing
Home Economics,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,Home Economics
Food & Drink,112,,36,,85,,158,,79,,77,,18,,90,,63,,0,,0, 718 ,Food & Drink
Meals & Table Ser,1,,0,,0,,0,,1,,1,,0,,0,,0,,0,,0, 3 ,Meals & Table Ser
Household Managem,18,,4,,16,,32,,22,,12,,3,,21,,22,,0,,0, 150 ,Household Managem
Hotel Management,3,,1,,2,,4,,1,,1,,0,,3,,0,,0,,0, 15 ,Hotel Management
Child Rearing,9,,3,,13,,20,,7,,4,,1,,14,,8,,0,,0, 79 ,Child Rearing
Management,1,,0,,1,,4,,1,,1,,0,,2,,0,,0,,0, 10 ,Management
Office Services,3,,0,,1,,4,,0,,0,,0,,2,,2,,0,,0, 12 ,Office Services
General Managemen,0,,0,,1,,2,,1,,0,,0,,1,,0,,0,,0, 5 ,General Managemen
Advertising,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0, 1 ,Advertising
Chemical Engineer,7,,0,,4,,14,,4,,1,,0,,14,,5,,0,,0, 49 ,Chemical Engineer
Manufacturing,0,,0,,0,,6,,3,,1,,0,,8,,3,,0,,0, 21 ,Manufacturing
Specific Manufact,0,,0,,0,,1,,2,,0,,0,,1,,0,,0,,0, 4 ,Specific Manufact
Hardware & Househ,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,Hardware & Househ
Furnishings/home,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Furnishings/home
Leather & Fur Pro,0,,0,,0,,2,,0,,0,,0,,1,,0,,0,,0, 3 ,Leather & Fur Pro
Clothing,80,,40,,37,,74,,66,,21,,14,,51,,39,,0,,0, 422 ,Clothing
Buildings,4,,1,,2,,6,,4,,0,,0,,6,,1,,0,,0, 24 ,Buildings
Carpentry,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 2 ,Carpentry
The Arts,19,,7,,16,,48,,18,,11,,5,,35,,14,,0,,0, 173 ,The Arts
Civic & Landscape,0,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0, 2 ,Civic & Landscape
Architecture,19,,4,,21,,40,,18,,9,,1,,23,,13,,0,,0, 148 ,Architecture
Sculpture,47,,10,,29,,39,,38,,24,,1,,30,,21,,0,,0, 239 ,Sculpture
Numismatics,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,Numismatics
Ceramic Arts,2,,1,,3,,3,,1,,3,,0,,0,,0,,0,,0, 13 ,Ceramic Arts
Drawing,437,,196,,301,,464,,329,,197,,86,,332,,297,,0,,0," 2,639 ",Drawing
Handicrafts,187,,76,,134,,234,,136,,92,,27,,136,,105,,0,,0," 1,127 ",Handicrafts
Textile Arts,20,,7,,11,,22,,15,,8,,2,,17,,11,,0,,0, 113 ,Textile Arts
Interior Decorati,2,,0,,1,,1,,0,,0,,0,,2,,1,,0,,0, 7 ,Interior Decorati
Painting,20,,4,,12,,31,,6,,15,,1,,36,,13,,0,,0, 138 ,Painting
Graphic Arts,1,,0,,2,,3,,3,,0,,0,,3,,3,,0,,0, 15 ,Graphic Arts
Photography,14,,3,,6,,10,,8,,6,,0,,8,,4,,0,,0, 59 ,Photography
Music,79,,15,,57,,134,,67,,41,,6,,86,,54,,0,,0, 539 ,Music
"Movies, Radio, Tv",122,,29,,65,,118,,87,,40,,26,,78,,65,,0,,0, 630 ,"Movies, Radio, Tv"
Stage Presentatio,18,,4,,9,,22,,7,,6,,0,,15,,8,,0,,0, 89 ,Stage Presentatio
Indoor Games,111,,35,,69,,121,,80,,39,,14,,77,,62,,0,,0, 608 ,Indoor Games
Indoor Games Of S,140,,65,,95,,130,,109,,57,,47,,93,,79,,0,,0, 815 ,Indoor Games Of S
Athletic/outdoor,300,,119,,223,,487,,211,,110,,24,,240,,268,,0,,0," 1,982 ",Athletic/outdoor
Aquatic Sports,5,,2,,5,,17,,2,,4,,0,,2,,5,,0,,0, 42 ,Aquatic Sports
Equestrian Sports,1,,5,,4,,8,,1,,0,,0,,4,,0,,0,,0, 23 ,Equestrian Sports
"Fishing, Hunting,",0,,1,,2,,5,,2,,1,,0,,0,,1,,0,,0, 12 ,"Fishing, Hunting,"
Literature,214,,68,,185,,399,,174,,133,,18,,197,,130,,0,,0," 1,518 ",Literature
Geography & Histo,22,,10,,28,,37,,12,,9,,1,,18,,13,,0,,0, 150 ,Geography & Histo
Geography & Trave,95,,49,,67,,160,,79,,45,,15,,79,,58,,0,,0, 647 ,Geography & Trave
Europe,2,,0,,2,,6,,0,,1,,0,,4,,2,,0,,0, 17 ,Europe
Asia,1,,1,,2,,5,,2,,0,,0,,1,,2,,0,,0, 14 ,Asia
Africa,2,,1,,0,,2,,3,,0,,0,,1,,0,,0,,0, 9 ,Africa
North America,11,,5,,8,,17,,8,,6,,0,,10,,2,,0,,0, 67 ,North America
South America,0,,0,,0,,1,,1,,0,,0,,1,,0,,0,,0, 3 ,South America
Other Areas,4,,0,,4,,14,,6,,0,,0,,4,,1,,0,,0, 33 ,Other Areas
Genealogy,12,,8,,13,,29,,15,,3,,1,,16,,7,,0,,0, 104 ,Genealogy
Ancient History,35,,10,,31,,57,,29,,9,,3,,23,,22,,0,,0, 219 ,Ancient History
Ancient Egypt,133,,52,,105,,268,,117,,58,,14,,105,,114,,0,,0, 966 ,Ancient Egypt
Ancient Greece,48,,27,,49,,100,,38,,16,,3,,35,,43,,0,,0, 359 ,Ancient Greece
European History,112,,58,,95,,189,,110,,56,,5,,114,,75,,0,,0, 814 ,European History
British History,16,,12,,11,,15,,20,,10,,1,,11,,11,,0,,0, 107 ,British History
Medieval British,14,,6,,11,,15,,12,,10,,1,,7,,4,,0,,0, 80 ,Medieval British
Central European,21,,5,,9,,12,,17,,4,,0,,15,,10,,0,,0, 93 ,Central European
French History,14,,5,,5,,6,,8,,6,,0,,8,,11,,0,,0, 63 ,French History
Italian History,9,,8,,7,,3,,7,,3,,1,,4,,6,,0,,0, 48 ,Italian History
Spanish History,9,,3,,6,,5,,8,,3,,0,,7,,5,,0,,0, 46 ,Spanish History
Russian History,11,,5,,8,,12,,10,,4,,1,,16,,8,,0,,0, 75 ,Russian History
Scandinavian Hist,47,,25,,24,,34,,34,,18,,7,,42,,37,,0,,0, 268 ,Scandinavian Hist
Asian History,36,,15,,26,,43,,32,,9,,1,,26,,32,,0,,0, 220 ,Asian History
Japanese History,20,,9,,16,,23,,17,,4,,0,,21,,26,,0,,0, 136 ,Japanese History
Indian History,51,,16,,25,,37,,49,,11,,0,,36,,60,,0,,0, 285 ,Indian History
Siberian History,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Siberian History
Central Asian His,6,,2,,4,,5,,7,,1,,0,,8,,2,,0,,0, 35 ,Central Asian His
Se Asian History,29,,9,,21,,22,,20,,9,,2,,20,,18,,0,,0, 150 ,Se Asian History
African History,45,,12,,26,,55,,36,,12,,1,,33,,31,,0,,0, 251 ,African History
North American Hi,26,,6,,10,,32,,17,,5,,2,,25,,15,,0,,0, 138 ,North American Hi
Canadian History,271,,87,,183,,299,,165,,115,,39,,231,,219,,0,,0," 1,609 ",Canadian History
Mexican History,65,,24,,37,,47,,42,,16,,6,,48,,44,,0,,0, 329 ,Mexican History
U.s. History,69,,10,,29,,74,,23,,10,,1,,50,,35,,0,,0, 301 ,U.s. History
South American Hi,45,,14,,30,,36,,34,,7,,3,,28,,20,,0,,0, 217 ,South American Hi
History Of Other,22,,1,,13,,16,,15,,4,,1,,16,,9,,0,,0, 97 ,History Of Other
Extraterrestrial,34,,11,,15,,34,,20,,18,,0,,37,,17,,0,,0, 186 ,Extraterrestrial
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,8183,,3076,,5893,,11142,,6532,,3003,,917,,6628,,5558,,1,,0," 50,933 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (,,t jeddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,8,,3,,4,,11,,7,,3,,0,,3,,4,,0,,0, 43 ,Generalities
Philosophy & Psyc,116,,48,,70,,145,,50,,44,,4,,68,,52,,0,,0, 597 ,Philosophy & Psyc
Religion,40,,21,,30,,54,,26,,9,,2,,25,,19,,0,,0, 226 ,Religion
Social Sciences,233,,112,,177,,361,,135,,103,,21,,228,,101,,0,,0," 1,471 ",Social Sciences
Languages,21,,12,,21,,57,,15,,4,,2,,26,,11,,0,,0, 169 ,Languages
Science & Mathema,753,,321,,542,,1121,,436,,369,,79,,551,,323,,0,,0," 4,495 ",Science & Mathema
Technology & Medi,451,,177,,263,,638,,210,,218,,48,,347,,134,,0,,0," 2,486 ",Technology & Medi
The Arts / Sports,210,,74,,110,,225,,108,,96,,23,,123,,65,,0,,0," 1,034 ",The Arts / Sports
Literature,34,,20,,21,,108,,18,,26,,7,,26,,10,,0,,0, 270 ,Literature
Geography & Histo,77,,74,,67,,137,,65,,41,,13,,59,,40,,0,,0, 573 ,Geography & Histo
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages
Science & Technol,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Technol
Technology & Medi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Medi
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,1943,,862,,1305,,2857,,1070,,913,,199,,1456,,759,,0,,0," 11,364 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc,,t jelddc, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,24,,7,,8,,33,,24,,3,,1,,11,,11,,0,,0, 122 ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,24,,7,,8,,33,,24,,3,,1,,11,,11,,0,,0, 122 ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (,,t jfddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,50,,33,,21,,18,,18,,18,,0,,20,,7,,0,,0, 185 ,Generalities
Philosophy & Psyc,9,,6,,2,,2,,4,,2,,0,,4,,0,,0,,0, 29 ,Philosophy & Psyc
Religion,4,,1,,2,,1,,1,,0,,0,,4,,0,,0,,0, 13 ,Religion
Social Sciences,29,,13,,17,,13,,14,,4,,1,,16,,11,,0,,0, 118 ,Social Sciences
Languages,40,,8,,23,,29,,20,,29,,2,,16,,12,,0,,0, 179 ,Languages
Science & Mathema,136,,68,,102,,56,,85,,67,,2,,98,,28,,0,,0, 642 ,Science & Mathema
Technology & Medi,28,,26,,22,,12,,21,,15,,0,,23,,9,,0,,0, 156 ,Technology & Medi
The Arts / Sports,33,,15,,21,,12,,17,,13,,1,,28,,9,,0,,0, 149 ,The Arts / Sports
Literature,3,,1,,1,,3,,3,,1,,0,,2,,0,,0,,0, 14 ,Literature
Geography & Histo,76,,32,,44,,37,,67,,31,,2,,105,,15,,0,,0, 409 ,Geography & Histo
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Generalities,0,,0,,0,,1,,0,,0,,0,,1,,0,,0,,0, 2 ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,408,,203,,255,,184,,250,,180,,8,,317,,91,,0,,0," 1,896 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (,,t jkddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,15,,14,,12,,28,,17,,15,,0,,24,,14,,0,,0, 139 ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,15,,14,,12,,28,,17,,15,,0,,24,,14,,0,,0, 139 ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (,,t jrddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,131,,122,,87,,213,,73,,47,,3,,137,,153,,0,,0, 966 ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,131,,122,,87,,213,,73,,47,,3,,137,,153,,0,,0, 966 ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (,,t jtddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages
Science & Mathema,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Mathema
Technology & Medi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Medi
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages
Science & Mathema,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Mathema
Technology & Math,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Math
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (,,t jvddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,16,,5,,3,,10,,10,,0,,1,,2,,2,,0,,0, 49 ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,16,,5,,3,,10,,10,,0,,1,,2,,2,,0,,0, 49 ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D,,t kddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Philosophy & Psyc,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,0, 5 ,Philosophy & Psyc
Religion,5,,3,,0,,5,,2,,1,,0,,0,,0,,0,,0, 16 ,Religion
Social Sciences,1,,2,,2,,9,,5,,2,,1,,1,,1,,0,,0, 24 ,Social Sciences
Languages,398,,88,,109,,197,,165,,59,,17,,86,,110,,0,,0," 1,229 ",Languages
Science & Mathema,12,,1,,5,,8,,7,,3,,2,,4,,3,,0,,0, 45 ,Science & Mathema
The Arts / Sports,6,,2,,3,,5,,4,,4,,0,,2,,1,,0,,0, 27 ,The Arts / Sports
Literature,1,,0,,0,,1,,0,,0,,0,,0,,1,,0,,0, 3 ,Literature
Geography & Histo,1,,0,,0,,17,,0,,1,,0,,1,,1,,0,,0, 21 ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,425,,96,,120,,242,,184,,70,,20,,95,,118,,0,,0," 1,370 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D,,t lddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,11,,2,,2,,10,,5,,7,,0,,4,,3,,0,,0, 44 ,Generalities
Philosophy & Psyc,29,,9,,11,,24,,21,,6,,2,,13,,5,,0,,0, 120 ,Philosophy & Psyc
Religion,41,,9,,12,,53,,26,,11,,4,,22,,11,,0,,0, 189 ,Religion
Social Sciences,78,,14,,25,,51,,40,,35,,1,,43,,15,,0,,0, 302 ,Social Sciences
Languages,4,,1,,2,,4,,1,,0,,0,,1,,2,,0,,0, 15 ,Languages
Science & Mathema,6,,3,,2,,1,,3,,4,,0,,1,,1,,0,,0, 21 ,Science & Mathema
Technology & Medi,59,,13,,23,,41,,26,,18,,6,,26,,10,,0,,0, 222 ,Technology & Medi
The Arts / Sports,59,,13,,12,,29,,15,,23,,2,,22,,8,,0,,0, 183 ,The Arts / Sports
Literature,22,,3,,5,,27,,19,,10,,0,,14,,9,,0,,0, 109 ,Literature
Geography & Histo,120,,14,,29,,70,,56,,28,,1,,67,,10,,0,,0, 395 ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,429,,81,,123,,310,,212,,142,,16,,213,,74,,0,,0," 1,600 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo,,t loc (Lo, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
